"Ux","Points:0","Points:1","Points:2"
1,15,30,0
0.92322,-5,30,0
0.46392,-5,0,0
-0,-25,0,0
-0,-26.913,-9.6194,0
3.2526e-018,-28.536,-8.5355,0
-0,-29.619,-6.9134,0
-0,-30,-5,0
-1.5179e-018,-29.619,-3.0866,0
-6.9389e-018,-28.536,-1.4645,0
-2.4286e-017,-26.913,-0.3806,0
-0,-25,-10,0
0.46132,5,-10,0
1,5,20,0
0.99857,13,30,0
0.99346,11,30,0
0.98705,9,30,0
0.97754,7,30,0
0.96502,5,30,0
0.9513,3,30,0
0.94106,1,30,0
0.93221,-1,30,0
0.92621,-3,30,0
0.9216,-5,28,0
0.91599,-5,26,0
0.90441,-5,24,0
0.89457,-5,22,0
0.86067,-5,20,0
0.84001,-5,18,0
0.80897,-5,16,0
0.77341,-5,14,0
0.73884,-5,12,0
0.70103,-5,10,0
0.66373,-5,8,0
0.6265,-5,6,0
0.5872,-5,4,0
0.55595,-5,2,0
0.3819,-7,0,0
0.3367,-9,0,0
0.29703,-11,0,0
0.2592,-13,0,0
0.22206,-15,0,0
0.18517,-17,0,0
0.14804,-19,0,0
0.11012,-21,0,0
0.071996,-23,0,0
0.45964,3,-10,0
0.44787,1,-10,0
0.43674,-1,-10,0
0.41565,-3,-10,0
0.38976,-5,-10,0
0.35998,-7,-10,0
0.32699,-9,-10,0
0.29174,-11,-10,0
0.25575,-13,-10,0
0.2196,-15,-10,0
0.18026,-17,-10,0
0.14517,-19,-10,0
0.10494,-21,-10,0
0.068868,-23,-10,0
0.8835,5,18,0
0.83599,5,16,0
0.7885,5,14,0
0.74501,5,12,0
0.70752,5,10,0
0.67327,5,8,0
0.63703,5,6,0
0.59996,5,4,0
0.56461,5,2,0
0.53642,5,0,0
0.51223,5,-2,0
0.49179,5,-4,0
0.47465,5,-6,0
0.46832,5,-8,0
1,6.4286,21.429,0
1,7.8571,22.857,0
1,9.2857,24.286,0
1,10.714,25.714,0
1,12.143,27.143,0
1,13.571,28.571,0
0.027789,-25.569,-7.4799,0
0.014139,-26.812,-6.6581,0
0.013019,-27.837,-5.6508,0
0.043943,-24.993,-2.9998,0
0.37665,-6.074,-2.518,0
0.62766,-3.4121,6.0654,0
0.35648,-7.906,-2.1647,0
0.97755,6.9336,28.568,0
0.96553,5.0312,28.598,0
0.95039,3.0752,28.358,0
0.93981,1.0201,28.27,0
0.93173,-1.0075,28.154,0
0.88024,-2.9825,22.053,0
0.86596,-3.1454,19.996,0
0.84336,-3.3801,18.021,0
0.80619,-3.2473,16.081,0
0.77646,-3.2206,14.009,0
0.73786,-3.2704,11.956,0
0.70098,-3.3252,9.9561,0
0.66405,-3.3758,7.995,0
0.59215,-3.3891,4.2071,0
0.55585,-3.2124,2.4553,0
0.52628,-2.813,1.0045,0
0.31823,-9.8591,-1.9435,0
0.28097,-11.825,-1.8119,0
0.24465,-13.774,-1.7205,0
0.20914,-15.699,-1.6489,0
0.1742,-17.613,-1.5955,0
0.13873,-19.525,-1.5676,0
0.10219,-21.443,-1.5794,0
0.057784,-24.047,-7.9849,0
0.064592,-23.298,-1.6053,0
0.43976,-0.85831,-8.2151,0
0.41932,-2.8522,-8.2465,0
0.39387,-4.8623,-8.2804,0
0.36365,-6.8228,-8.3586,0
0.33276,-8.7255,-8.4627,0
0.2972,-10.667,-8.4934,0
0.26304,-12.609,-8.4725,0
0.22761,-14.557,-8.4393,0
0.1932,-16.515,-8.4133,0
0.1467,-18.462,-8.3882,0
0.11701,-20.39,-8.3401,0
0.082892,-22.276,-8.2286,0
0.87759,3.3234,17.921,0
0.83176,3.4927,15.812,0
0.78483,3.4504,13.87,0
0.73908,3.4031,11.904,0
0.70741,3.3684,9.9275,0
0.67125,3.334,7.9492,0
0.63934,3.2732,5.9815,0
0.59716,3.1436,4.0027,0
0.56158,2.932,2.0034,0
0.53248,2.8572,-0.077949,0
0.51175,2.9649,-2.1654,0
0.48544,3.0493,-4.1899,0
0.4714,3.0787,-6.1494,0
0.4599,3.0613,-8.0862,0
0.98679,8.8748,28.796,0
0.99407,10.65,29.002,0
0.99286,9.7312,26.518,0
0.96107,4.6443,22.334,0
0.9912,8.0243,25.379,0
0.98363,6.4042,23.981,0
0.068266,-23.079,-6.2817,0
0.02247,-26.515,-3.9036,0
0.456,-3.4342,-1.2715,0
0.93714,1.0407,26.648,0
0.45461,1.1076,-8.1618,0
0.44664,-0.73609,-6.4306,0
0.40097,-4.7588,-6.5318,0
0.36345,-6.7268,-6.6501,0
0.33415,-8.5063,-6.9692,0
0.303,-10.306,-7.0004,0
0.27164,-12.134,-6.9155,0
0.2374,-14.02,-6.8371,0
0.20348,-15.933,-6.7776,0
0.86656,-1.2079,19.724,0
0.82706,-1.3248,16.423,0
0.81316,1.9666,15.601,0
0.78495,1.8374,13.804,0
0.66925,1.6668,7.9508,0
0.62644,1.5893,6.0558,0
0.59384,1.4137,4.1897,0
0.91372,-2.8812,24.119,0
0.90309,-1.0574,22.018,0
0.84175,-2.0646,18.029,0
0.74212,1.7621,11.862,0
0.71309,1.7138,9.9043,0
0.12788,-19.696,-6.6557,0
0.49465,1.1038,-2.4486,0
0.42625,-2.7173,-6.5023,0
0.3753,-6.9497,-4.6807,0
0.3334,-8.8777,-3.9448,0
0.30023,-10.746,-3.679,0
0.26501,-12.65,-3.5303,0
0.22983,-14.556,-3.426,0
0.19575,-16.435,-3.3398,0
0.16185,-18.279,-3.2638,0
0.17236,-17.827,-6.7247,0
0.13313,-20.079,-3.1997,0
0.77321,-1.4968,14.021,0
0.73959,-1.5821,11.919,0
0.70198,-1.6474,9.925,0
0.66153,-1.7083,7.9902,0
0.63116,-1.7598,6.1399,0
0.59871,-1.759,4.4271,0
0.56944,-1.5723,2.8909,0
0.56495,0.83579,2.1672,0
0.52903,0.68218,-0.24104,0
0.47408,1.1928,-4.4223,0
0.965,5.0853,27.379,0
0.95447,3.3651,26.484,0
0.84298,2.0385,16.992,0
0.092916,-21.875,-3.2114,0
0.10045,-21.475,-6.5334,0
0.9359,3.8798,20.225,0
0.97412,6.8014,26.754,0
0.95705,3.6335,23.885,0
0.060599,-23.827,-3.4666,0
0.46431,1.1804,-6.3037,0
0.92449,-0.93874,26.303,0
0.99753,12.293,28.866,0
0.044944,-25.433,-4.9764,0
0.074514,-23.466,-4.5857,0
0.9305,2.5011,21.899,0
0.8564,1.0253,17.453,0
0.5205,-2.0371,-0.26399,0
0.4357,-2.59,-4.8009,0
0.33335,-8.4803,-5.7626,0
0.31717,-9.7642,-5.4503,0
0.28441,-11.511,-5.2961,0
0.25147,-13.376,-5.195,0
0.60711,-0.13961,4.4877,0
0.40575,-4.6523,-4.7752,0
0.47252,-0.68237,-2.9164,0
0.21678,-15.269,-5.1136,0
0.63208,-0.06563,6.1542,0
0.49553,-1.0849,-1.3993,0
0.5507,-1.0668,1.6209,0
0.67025,-0.012416,7.9883,0
0.74793,0.084802,11.884,0
0.69825,0.033732,9.92,0
0.77326,0.16412,13.897,0
0.81386,0.40829,15.833,0
0.8918,0.62548,20.301,0
0.85711,-0.15091,18.186,0
0.18263,-17.142,-5.0428,0
0.15043,-18.97,-4.9722,0
0.91824,-0.59438,24.264,0
0.88044,1.9106,18.736,0
0.089775,-22.268,-4.7362,0
0.96647,5.0841,25.199,0
0.46258,-0.66111,-4.651,0
0.47614,-2.3531,-1.9939,0
0.90642,0.71716,21.907,0
0.92718,2.4259,23.03,0
0.44327,-4.267,-2.9714,0
0.45649,-2.4711,-3.2137,0
0.92044,-2.9551,26.103,0
0.051658,-24.406,-5.7875,0
0.99746,11.19,27.603,0
0.92393,-3.0056,28.062,0
0.0062867,-28.62,-4.7753,0
0.0068608,-27.728,-2.3223,0
0.01964,-26.53,-2.0354,0
0.046732,-24.975,-1.6364,0
0.0091122,-28.124,-3.5208,0
0.99109,8.9939,27.541,0
0.90116,2.3392,20.342,0
0.99378,10.4,28.093,0
0.52941,-0.8091,0.4354,0
0.94018,2.312,24.787,0
0.11242,-20.704,-4.8752,0
0.8697,0.81273,19.105,0
0.92929,0.98687,25.321,0
0.92414,1.1937,23.48,0
0.56927,-0.29303,3.2081,0
